Interpretation,Property,Data Elements
 SOH - Suitability for Aerobic Soil Organisms,WTD_AVG PH 0-30cm OR ABOVE RESTRICTION,"hzdepb_r, hzdept_r, ph01mcacl2_h, ph01mcacl2_l, ph01mcacl2_r, ph1to1h2o_h, ph1to1h2o_l, ph1to1h2o_r,"
 SOH - Suitability for Aerobic Soil Organisms,DRAINAGE CLASS IS NOT SUBAQUEOUS,"compname, drainagecl,"
 SOH - Suitability for Aerobic Soil Organisms,WTD_AVG OM 0-30cm OR ABOVE RESTRICTION,"hzdepb_r, hzdept_r, om_h, om_l,"
 SOH - Suitability for Aerobic Soil Organisms,ALUMINIUM SATURATION WTD AVE TO 30CM,"ecec_h, ecec_l, ecec_r, extral_h, extral_l, extral_r, hzdepb_r, hzdept_r, hzname,"
 SOH - Suitability for Aerobic Soil Organisms,BULK DENSITY RATIO MAXIMUM 0 TO 30CM,"claytotal_r, dbthirdbar_r, hzdepb_r, hzdept_r, hzname, sandtotal_r, silttotal_r, taxorder,"
 SOH - Suitability for Aerobic Soil Organisms,BULK EC 0-30cm OR ABOVE RESTRICTION,"ec_h, ec_l, ec_r, hzdepb_r, hzdept_r,"
 SOH - Suitability for Aerobic Soil Organisms,"MEAN ANNUAL AIR TEMPERATURE, FROM H&L","mean_annual_air_temperature_h, mean_annual_air_temperature_l, mean_annual_air_temperature_r,"
 SOH - Suitability for Aerobic Soil Organisms,WTD_AVG CLAY CONTENT 0-30cm OR ABOVE RESTRICTION,"claytotal_h, claytotal_l, claytotal_r, hzdepb_r, hzdept_r, taxorder,"
SOH - Agricultural Organic Soil Subsidence,TAXONOMIC ORDER CODE,"taxorder,"
SOH - Agricultural Organic Soil Subsidence,DRAINAGE CLASS IS NOT SUBAQUEOUS,"compname, drainagecl,"
SOH - Agricultural Organic Soil Subsidence,PERCENTAGE OF MINERAL HORIZONS IN DEPTH 0-150CM,"desgnmaster, hzdepb_r, hzdept_r, lieutex, texcl, texture,"
SOH - Agricultural Organic Soil Subsidence,THICKNESS OF O HORIZONS IN DEPTH 0-150CM,"desgnmaster, hzdepb_r, hzdept_r, lieutex, texcl, texture,"
SOH - Agricultural Organic Soil Subsidence,DEPTH TO HIGH WATER TABLE MINIMUM,"soimoistdept_h, soimoistdept_l, soimoistdept_r, soimoiststat,"
SOH - Agricultural Organic Soil Subsidence,FROST-FREE DAYS,"ffd_h, ffd_l, ffd_r,"
SOH - Agricultural Organic Soil Subsidence,USDA TEXTURE CLASS DOMINANT CONDITION IN DEPTH 0-150CM,"hzdepb_r, hzdept_r, lieutex, texcl,"
SOH - Agricultural Organic Soil Subsidence,USDA TEXTURE CLASS DOMINANT CONDITION IN DEPTH 0-150CM,"hzdepb_r, hzdept_r, lieutex, texcl,"
SOH - Agricultural Organic Soil Subsidence,USDA TEXTURE CLASS DOMINANT CONDITION IN DEPTH 0-150CM,"hzdepb_r, hzdept_r, lieutex, texcl,"
SOH - Agricultural Organic Soil Subsidence,WTD_AVG PH 0-150cm OR ABOVE RESTRICTION,"hzdepb_r, hzdept_r, ph01mcacl2_h, ph01mcacl2_l, ph01mcacl2_r, ph1to1h2o_h, ph1to1h2o_l, ph1to1h2o_r,"
SOH - Concentration of Salts- Soil Surface,DRAINAGE CLASS IS NOT SUBAQUEOUS,"compname, drainagecl,"
SOH - Concentration of Salts- Soil Surface,BULK EC 0-30cm OR ABOVE RESTRICTION,"ec_h, ec_l, ec_r, hzdepb_r, hzdept_r,"
SOH - Concentration of Salts- Soil Surface,THICKNESS OF SURFACE ORGANIC HORIZON,"hzdept_h, hzdept_l, hzdept_r, lieutex, taxorder, texcl,"
SOH - Concentration of Salts- Soil Surface,DEPTH TO FIRST STR/VSTR CEMENTED BELOW ORGANIC LAYER,"resdept_h, resdept_l, resdept_r, reskind,"
