Column physical name,Column logical name,Column group label,Column label,Column description,Units of measure: Unabbreviated,Units of measure: Abbreviated
airtempa_h,mean_annual_air_temperature_h,MAAT,High,"The arithmetic average of the daily maximum and minimum temperatures for a calendar year taken over the standard ""normal"" period, 1981 to 2010.",degrees centigrade,degrees c
airtempa_l,mean_annual_air_temperature_l,MAAT,Low,"The arithmetic average of the daily maximum and minimum temperatures for a calendar year taken over the standard ""normal"" period, 1981 to 2010.",degrees centigrade,degrees c
airtempa_r,mean_annual_air_temperature_r,MAAT,RV,"The arithmetic average of the daily maximum and minimum temperatures for a calendar year taken over the standard ""normal"" period, 1981 to 2010.",degrees centigrade,degrees c
areasymbol,area_symbol,,Area Symbol,"A symbol that uniquely identifies a single occurrence of a particular type of area (e.g. Lancaster County, Nebraska, is NE109).",NULL,NULL
areatypename,area_type_name,,Area Type Name,"The name of a particular type of area.  Area type names include ""state,"" ""county,"" ""mlra,"" etc.",NULL,NULL
awc_r,available_water_capacity_r,AWC,RV,"The amount of water that an increment of soil depth, inclusive of fragments, can store and that is available to plants.  AWC is expressed as a volume fraction, and is commonly estimated as the difference between the water contents at 1/10- or 1/3-bar (field capacity) and 15-bars (permanent wilting point) tension and adjusted for salinity and fragments.",centimeters per centimeter,cm/cm
aws0150wta,aws_0_150_wta,,Available Water Storage 0-150 cm - Weighted Average,"Available water storage (AWS).  The volume of water that the soil, to a depth of 150 centimeters, can store that is available to plants.  It is reported as the weighted average of all components in the map unit and is expressed as centimeters of water.",,
cec7_h,cation_exch_capcty_nh4oacph7_h,CEC-7,High,"The amount of readily exchangeable cations that can be electrically adsorbed to negative charges in the soil, soil constituent, or other material, at pH 7.0, as estimated by the ammonium acetate method.",centimoles of charge per kilogram,cmol(+)/kg
cec7_l,cation_exch_capcty_nh4oacph7_l,CEC-7,Low,"The amount of readily exchangeable cations that can be electrically adsorbed to negative charges in the soil, soil constituent, or other material, at pH 7.0, as estimated by the ammonium acetate method.",centimoles of charge per kilogram,cmol(+)/kg
cec7_r,cation_exch_capcty_nh4oacph7_r,CEC-7,RV,"The amount of readily exchangeable cations that can be electrically adsorbed to negative charges in the soil, soil constituent, or other material, at pH 7.0, as estimated by the ammonium acetate method.",centimoles of charge per kilogram,cmol(+)/kg
chkey,chorizon_key,,Chorizon Key,A non-connotative string of characters used to uniquely identify a record in the Horizon table.,NULL,NULL
claytotal_h,clay_total_separate_h,Total Clay,High,Mineral particles less than 0.002 mm in equivalent diameter as a weight percentage of the less-than-2.0-mm fraction.,percent,percent
claytotal_l,clay_total_separate_l,Total Clay,Low,Mineral particles less than 0.002 mm in equivalent diameter as a weight percentage of the less-than-2.0-mm fraction.,percent,percent
claytotal_r,clay_total_separate_r,Total Clay,RV,Mineral particles less than 0.002 mm in equivalent diameter as a weight percentage of the less-than-2.0-mm fraction.,percent,percent
cokey,component_key,,Component Key,A non-connotative string of characters used to uniquely identify a record in the Component table.,NULL,NULL
compname,component_name,,Component Name,Name assigned to a component based on its range of properties.,NULL,NULL
comppct_r,component_percent_r,Comp %,RV,The percentage of the component of the mapunit.,percent,percent
dbthirdbar_r,bulk_density_one_third_bar_r,Db 0.33 bar H2O,RV,The oven dry weight of the less-than-2-mm soil material per unit volume of soil at a water tension of 1/3 bar.,grams per cubic centimeter,g/cm3
desgnmaster,horz_desgn_master,,Master,"One of four kinds of symbols, that when concatenated, are used to distinguish different kinds of layers in soils.  Master horizons and layers are the base symbols to which other characters are added to complete the designations.  Capital letters, virgules (/), and ampersands (&) are used. (SSM)",NULL,NULL
drainagecl,drainage_class,,Drainage Class,Identifies the natural drainage conditions of the soil and refers to the frequency and duration of wet periods.  An example of a drainage class is well drained.,NULL,NULL
ec_h,electrical_conductivity_h,EC,High,The electrical conductivity of an extract from saturated soil paste.,decisiemens per meter,dS/m
ec_l,electrical_conductivity_l,EC,Low,The electrical conductivity of an extract from saturated soil paste.,decisiemens per meter,dS/m
ec_r,electrical_conductivity_r,EC,RV,The electrical conductivity of an extract from saturated soil paste.,decisiemens per meter,dS/m
ecec_h,effective_cation_exch_capcty_h,ECEC,High,The sum of NH4OAc extractable bases plus KCl extractable aluminum.,centimoles of charge per kilogram,cmol(+)/kg
ecec_l,effective_cation_exch_capcty_l,ECEC,Low,The sum of NH4OAc extractable bases plus KCl extractable aluminum.,centimoles of charge per kilogram,cmol(+)/kg
ecec_r,effective_cation_exch_capcty_r,ECEC,RV,The sum of NH4OAc extractable bases plus KCl extractable aluminum.,centimoles of charge per kilogram,cmol(+)/kg
elev_r,elevation_r,Elevation,RV,The vertical distance from mean sea level to a point on the earth's surface.,meters,meters
